City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,3.38,96,100,2.68,CL,2024-09-07
1,morehead city,34.7229,-76.726,24.44,86,0,2.24,US,2024-09-07
2,adamstown,-25.066,-130.1015,18.33,78,100,10.32,PN,2024-09-07
3,novonikolayevskiy,50.9738,42.3649,10.67,53,0,1.75,RU,2024-09-07
4,hengchun,22.0042,120.7439,27.35,82,100,4.52,TW,2024-09-07
5,grytviken,-54.2811,-36.5092,1.09,91,98,1.15,GS,2024-09-07
6,glace bay,46.1969,-59.957,17.16,88,75,1.34,CA,2024-09-07
7,trincomalee,8.5711,81.2335,27.99,75,99,9.91,LK,2024-09-07
8,lagos,6.5833,3.75,23.7,94,100,1.25,NG,2024-09-07
9,kirakira,-10.4544,161.9205,27.1,66,100,8.07,SB,2024-09-07
10,waitangi,-43.9535,-176.5597,12.12,84,86,3.58,NZ,2024-09-07
11,santa cruz,-17.8,-63.1667,22.7,56,0,4.63,BO,2024-09-07
12,newman,37.3138,-121.0208,33.91,28,0,2.68,US,2024-09-07
13,lihue,21.9789,-159.3672,28.77,63,0,5.14,US,2024-09-07
14,lauro de freitas,-12.8944,-38.3272,24.01,78,40,4.12,BR,2024-09-07
15,infantes,38.7367,-3.0122,16.91,36,0,3.22,ES,2024-09-07
16,polyarnyy,69.1989,33.4478,10.72,87,2,3.2,RU,2024-09-07
17,linqu,36.5156,118.5397,24.74,49,0,1.55,CN,2024-09-07
18,masumbwe,-3.6333,32.1833,22.56,49,89,4.52,TZ,2024-09-07
19,dudinka,69.4058,86.1778,5.59,93,100,6.89,RU,2024-09-07
20,saipan,15.1355,145.701,32.39,70,40,4.12,MP,2024-09-07
21,bethel,41.3712,-73.414,19.41,94,0,0.0,US,2024-09-07
22,baotou,40.6522,109.8222,17.13,68,4,1.72,CN,2024-09-07
23,atafu village,-8.5421,-172.5159,27.62,78,19,6.45,TK,2024-09-07
24,south lake tahoe,38.9332,-119.9844,23.67,32,36,2.33,US,2024-09-07
25,thompson,55.7435,-97.8558,13.09,76,75,2.57,CA,2024-09-07
26,palmer,42.1584,-72.3287,18.75,82,75,3.6,US,2024-09-07
27,iqaluit,63.7506,-68.5145,3.85,75,75,2.57,CA,2024-09-07
28,blackmans bay,-43.0167,147.3167,14.29,58,91,1.79,AU,2024-09-07
29,tazovsky,67.4667,78.7,5.59,84,100,8.36,RU,2024-09-07
30,ushuaia,-54.8,-68.3,3.81,81,75,6.17,AR,2024-09-07
31,brasileia,-11.0161,-68.7481,27.13,40,0,0.67,BR,2024-09-07
32,papatowai,-46.5619,169.4708,9.57,63,100,9.88,NZ,2024-09-07
